batch_id,index,operation,status,error,message,entity_id,raw_input
44742,91,set_statement,Done,,,Q140794672,"Q140794672|P1343|Q140794940|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2012.glmt-mire""|S813|+2026-06-18T00:00:00Z/11"
44742,92,set_statement,Done,,,Q140794673,"Q140794673|P1343|Q140794941|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2014.74""|S813|+2026-06-18T00:00:00Z/11"
44742,93,set_statement,Done,,,Q140794674,"Q140794674|P1343|Q140794942|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2022.215""|S813|+2026-06-18T00:00:00Z/11"
44742,94,set_statement,Done,,,Q140794675,"Q140794675|P1343|Q140794943|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2013.46""|S813|+2026-06-18T00:00:00Z/11"
44742,95,set_statement,Done,,,Q140794677,"Q140794677|P1343|Q140794944|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2015.64""|S813|+2026-06-18T00:00:00Z/11"
44742,96,set_statement,Done,,,Q140794678,"Q140794678|P1343|Q140794945|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2021.336""|S813|+2026-06-18T00:00:00Z/11"
44742,97,set_statement,Done,,,Q140794679,"Q140794679|P1343|Q140794946|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2015.112""|S813|+2026-06-18T00:00:00Z/11"
44742,98,set_statement,Done,,,Q140794681,"Q140794681|P1343|Q140794947|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2015.119""|S813|+2026-06-18T00:00:00Z/11"
44742,99,set_statement,Done,,,Q140794682,"Q140794682|P1343|Q140794948|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2015.108""|S813|+2026-06-18T00:00:00Z/11"
44742,100,set_statement,Done,,,Q140794683,"Q140794683|P1343|Q140794950|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2018.202""|S813|+2026-06-18T00:00:00Z/11"
44742,101,set_statement,Done,,,Q140794684,"Q140794684|P1343|Q140794951|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2011.g_igcs""|S813|+2026-06-18T00:00:00Z/11"
44742,102,set_statement,Done,,,Q140794685,"Q140794685|P1343|Q140794952|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2013.53""|S813|+2026-06-18T00:00:00Z/11"
44742,103,set_statement,Done,,,Q140794686,"Q140794686|P1343|Q140794953|S248|Q50815456|S854|""https://doi.org/10.5201/ipol.2021.286""|S813|+2026-06-18T00:00:00Z/11"
