article_doi,venue,series_ordinal_P1545,author_name_P2093
10.21105/joss.01896,JOSS,2,Matthew Sanderson
10.21105/joss.01896,JOSS,3,Teon Brooks
10.21105/joss.01896,JOSS,4,Marijn van Vliet
10.21105/joss.01896,JOSS,5,Romain Quentin
10.21105/joss.01896,JOSS,6,Chris Holdgraf
10.21105/joss.01896,JOSS,7,Maximilien Chaumon
10.21105/joss.01896,JOSS,8,Ezequiel Mikulan
10.21105/joss.01896,JOSS,9,Kambiz Tavabi
10.21105/joss.01896,JOSS,10,Richard Höchenberger
10.21105/joss.01896,JOSS,11,Dominik Welke
10.21105/joss.01896,JOSS,12,Clemens Brunner
10.21105/joss.01896,JOSS,13,Alexander Rockhill
10.21105/joss.01896,JOSS,14,Eric Larson
10.21105/joss.01896,JOSS,15,Alexandre Gramfort
10.21105/joss.01896,JOSS,16,Mainak Jas
10.21105/joss.05464,JOSS,1,Jonas Schmidt
10.21105/joss.05464,JOSS,2,Lukas Vollmer
10.21105/joss.05464,JOSS,3,Martin Dörenkämper
10.21105/joss.05464,JOSS,4,Bernhard Stoevesandt
10.21105/joss.02614,JOSS,1,Matija Čufar
10.21105/joss.01132,JOSS,1,Pieter Gijsbers
10.21105/joss.01132,JOSS,2,Joaquin Vanschoren
10.21105/joss.07855,JOSS,1,Kurt Irvin M. Rojas
10.21105/joss.07855,JOSS,2,Yoshitada Morikawa
10.21105/joss.07855,JOSS,3,Ikutaro Hamada
10.21105/joss.03941,JOSS,1,Michael Hall
10.21105/joss.03722,JOSS,1,Ajay Khanna
10.21105/joss.03722,JOSS,2,David Larson
10.21105/joss.03722,JOSS,3,Sridhar Srivatsan
10.21105/joss.03722,JOSS,4,Matthew Mosior
10.21105/joss.03722,JOSS,5,Travis Abbott
10.21105/joss.03722,JOSS,6,Susanna Kiwala
10.21105/joss.03722,JOSS,7,Timothy Ley
10.21105/joss.03722,JOSS,8,Eric Duncavage
10.21105/joss.03722,JOSS,9,Matthew Walter
10.21105/joss.03722,JOSS,10,Jason Walker
10.21105/joss.03722,JOSS,11,Obi Griffith
10.21105/joss.03722,JOSS,12,Malachi Griffith
10.21105/joss.03722,JOSS,13,Christopher Miller
10.21105/joss.03092,JOSS,1,Clemens Schmid
10.21105/joss.03092,JOSS,2,Stephan Schiffels
10.21105/joss.06708,JOSS,1,Joshua Benjamin Schramm
10.21105/joss.06708,JOSS,2,Marcel Lichters
10.21105/joss.06934,JOSS,1,Zhiyi Wu
10.21105/joss.06934,JOSS,2,David L. Dotson
10.21105/joss.06934,JOSS,3,Irfan Alibay
10.21105/joss.06934,JOSS,4,Bryce K. Allen
10.21105/joss.06934,JOSS,5,Mohammad Soroush Barhaghi
10.21105/joss.06934,JOSS,6,Jérôme Hénin
10.21105/joss.06934,JOSS,7,Thomas T. Joseph
10.21105/joss.06934,JOSS,8,Ian M. Kenney
10.21105/joss.06934,JOSS,9,Hyungro Lee
10.21105/joss.06934,JOSS,10,Haoxi Li
10.21105/joss.06934,JOSS,11,Victoria Lim
10.21105/joss.06934,JOSS,12,Shuai Liu
10.21105/joss.06934,JOSS,13,Domenico Marson
10.21105/joss.06934,JOSS,14,Pascal T. Merz
10.21105/joss.06934,JOSS,15,Alexander Schlaich
10.21105/joss.06934,JOSS,16,David Mobley
10.21105/joss.06934,JOSS,17,Michael R. Shirts
10.21105/joss.06934,JOSS,18,Oliver Beckstein
10.21105/joss.00861,JOSS,1,Leland McInnes
10.21105/joss.00861,JOSS,2,John Healy
10.21105/joss.00861,JOSS,3,Nathaniel Saul
10.21105/joss.00861,JOSS,4,Lukas Großberger
10.21105/joss.05923,JOSS,1,Keneth Garcia-Cifuentes
10.21105/joss.05923,JOSS,2,Rosa L. Becerra
10.21105/joss.05923,JOSS,3,Fabio De Colle
10.21105/joss.01244,JOSS,1,Scott Kolodziej
10.21105/joss.01244,JOSS,2,Mohsen Aznaveh
10.21105/joss.01244,JOSS,3,Matthew Bullock
10.21105/joss.01244,JOSS,4,Jarrett David
10.21105/joss.01244,JOSS,5,Timothy Davis
10.21105/joss.01244,JOSS,6,Matthew Henderson
10.21105/joss.01244,JOSS,7,Yifan Hu
10.21105/joss.01244,JOSS,8,Read Sandstrom
10.21105/joss.03139,JOSS,1,Daniel Lüdecke
10.21105/joss.03139,JOSS,2,Mattan Ben-Shachar
10.21105/joss.03139,JOSS,3,Indrajeet Patil
10.21105/joss.03139,JOSS,4,Philip Waggoner
10.21105/joss.03139,JOSS,5,Dominique Makowski
10.21105/joss.04719,JOSS,1,Isabel Pietka
10.21105/joss.04719,JOSS,2,Ralf Drautz
10.21105/joss.04719,JOSS,3,Thomas Hammerschmidt
10.21105/joss.04306,JOSS,1,Roman Parise
10.21105/joss.04306,JOSS,2,Georgios Is. Detorakis
10.21105/joss.06836,JOSS,1,Santiago Ospina De Los Ríos
10.21105/joss.06836,JOSS,2,Peter Bastian
10.21105/joss.06836,JOSS,3,Liam Keegan
10.21105/joss.06836,JOSS,4,Sven Sahle
10.21105/joss.06836,JOSS,5,Dylan Vermoortele
