article_doi,venue,series_ordinal_P1545,author_name_P2093
10.5201/ipol.2022.397,IPOL,3,Jesús Angulo
10.5201/ipol.2022.397,IPOL,4,Isabelle Bloch
10.5201/ipol.2013.20,IPOL,1,Enric Meinhardt-Llopis
10.5201/ipol.2013.20,IPOL,2,Javier Sánchez Pérez
10.5201/ipol.2013.20,IPOL,3,Daniel Kondermann
10.5201/ipol.2018.47,IPOL,1,Tristan Dagobert
10.5201/ipol.2018.47,IPOL,2,Yohann Tendero
10.5201/ipol.2018.47,IPOL,3,Stéphane Landeau
10.5201/ipol.2013.59,IPOL,1,Cecilia Aguerrebere
10.5201/ipol.2013.59,IPOL,2,Yann Gousseau
10.5201/ipol.2013.59,IPOL,3,Guillaume Tartavel
10.5201/ipol.2019.277,IPOL,1,Thibaud Briand
10.5201/ipol.2019.278,IPOL,1,Charles Hessel
10.5201/ipol.2017.178,IPOL,1,Boshra Rajaei
10.5201/ipol.2017.178,IPOL,2,Sylvain Gigan
10.5201/ipol.2017.178,IPOL,3,Florent Krzakala
10.5201/ipol.2017.178,IPOL,4,Laurent Daudet
10.5201/ipol.2017.214,IPOL,1,Álvaro Gómez
10.5201/ipol.2017.214,IPOL,2,Gregory Randall
10.5201/ipol.2017.214,IPOL,3,Rafael Grompone von Gioi
10.5201/ipol.2026.451,IPOL,1,Max Dunitz
10.5201/ipol.2026.591,IPOL,1,Marina Gardella
10.5201/ipol.2026.591,IPOL,2,Ignacio Ramirez
10.5201/ipol.2012.gjmr-lsd,IPOL,1,Rafael Grompone von Gioi
10.5201/ipol.2012.gjmr-lsd,IPOL,2,Jérémie Jakubowicz
10.5201/ipol.2012.gjmr-lsd,IPOL,3,Jean-Michel Morel
10.5201/ipol.2012.gjmr-lsd,IPOL,4,Gregory Randall
10.5201/ipol.2023.459,IPOL,1,Thibaud Ehret
10.5201/ipol.2015.137,IPOL,1,Yi-Qing Wang
10.5201/ipol.2015.137,IPOL,2,Nicolas Limare
10.5201/ipol.2022.437,IPOL,1,Axel Roques
10.5201/ipol.2022.437,IPOL,2,Anne Zhao
10.5201/ipol.2022.357,IPOL,1,Clément Riu
10.5201/ipol.2022.357,IPOL,2,Vincent Nozick
10.5201/ipol.2022.357,IPOL,3,Pascal Monasse
10.5201/ipol.2025.602,IPOL,1,Tristan Dagobert
10.5201/ipol.2025.602,IPOL,2,Jean-Michel Morel
10.5201/ipol.2025.602,IPOL,3,Gabriele Facciolo
10.5201/ipol.2016.172,IPOL,1,Nelson Monzón
10.5201/ipol.2016.172,IPOL,2,Agustín Salgado
